Year,Month,DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,CRSDepTime,DepDelay,DepDel15,CRSArrTime,ArrDelay,ArrDel15,Cancelled
2013,4,18,4,DL,11193,14869,1645,-3.0,0.0,1836,-16.0,0,0
2013,4,18,4,DL,14027,10397,535,-4.0,0.0,726,-11.0,0,0
2013,4,18,4,DL,10397,15304,1915,8.0,0.0,2042,2.0,0,0
2013,4,18,4,DL,13204,12889,1945,19.0,1.0,2151,10.0,0,0
2013,4,18,4,DL,12889,13204,2245,-3.0,0.0,603,-18.0,0,0
2013,4,18,4,DL,13204,12953,700,-1.0,0.0,938,-7.0,0,0
2013,4,18,4,DL,13930,10397,830,120.0,1.0,1129,109.0,1,0
2013,4,18,4,DL,14869,14679,1653,-4.0,0.0,1745,-7.0,0,0
2013,4,18,4,DL,14679,14869,1820,9.0,0.0,2108,18.0,1,0
2013,4,18,4,DL,13487,14831,1730,255.0,1.0,1938,262.0,1,0
2013,4,18,4,DL,10397,12339,1610,13.0,0.0,1748,5.0,0,0
2013,4,18,4,DL,12339,10397,1830,22.0,1.0,2005,21.0,1,0
2013,4,18,4,DL,10397,14122,1050,-1.0,0.0,1234,-2.0,0,0
2013,4,18,4,DL,14122,10397,1315,6.0,0.0,1455,-1.0,0,0
2013,4,18,4,DL,11433,10397,600,-8.0,0.0,801,-6.0,0,0
2013,4,18,4,DL,15016,13487,1700,263.0,1.0,1838,251.0,1,0
2013,4,18,4,DL,12953,13204,705,-1.0,0.0,951,-22.0,0,0
2013,4,18,4,DL,11433,10397,1745,95.0,1.0,1951,96.0,1,0
2013,4,18,4,DL,10397,10721,1235,5.0,0.0,1510,17.0,1,0
2013,4,18,4,DL,13487,14869,1915,945.0,1.0,2106,945.0,1,0
2013,4,18,4,DL,14122,10397,600,-1.0,0.0,745,-10.0,0,0
2013,4,18,4,DL,10397,11042,1908,11.0,0.0,2100,7.0,0,0
2013,4,18,4,DL,14869,14679,840,-2.0,0.0,936,-18.0,0,0
2013,4,18,4,DL,14679,14869,1014,-6.0,0.0,1304,-2.0,0,0
2013,4,18,4,DL,13487,12953,1735,22.0,1.0,2117,61.0,1,0
2013,4,18,4,DL,10397,12451,1345,2.0,0.0,1455,-4.0,0,0
2013,4,18,4,DL,12451,10397,1545,-2.0,0.0,1704,-13.0,0,0
2013,4,18,4,DL,13204,13487,1345,0.0,0.0,1613,36.0,1,0
2013,4,18,4,DL,10397,10721,1640,11.0,0.0,1921,-3.0,0,0
2013,4,18,4,DL,11193,14635,700,-1.0,0.0,924,-19.0,0,0
2013,4,18,4,DL,14635,11193,1020,-7.0,0.0,1249,-12.0,0,0
2013,4,18,4,DL,10397,15304,2155,18.0,1.0,2324,13.0,0,0
2013,4,18,4,DL,13487,14771,915,24.0,1.0,1134,-20.0,0,0
2013,4,18,4,DL,14771,13487,1230,-4.0,0.0,1814,26.0,1,0
2013,4,18,4,DL,10693,10397,745,-4.0,0.0,957,-16.0,0,0
2013,4,18,4,DL,10397,15016,952,-2.0,0.0,1045,-9.0,0,0
2013,4,18,4,DL,15016,10397,1135,-1.0,0.0,1410,10.0,0,0
2013,4,18,4,DL,10397,11298,850,-3.0,0.0,1020,44.0,1,0
2013,4,18,4,DL,11298,10397,1100,59.0,1.0,1404,48.0,1,0
2013,4,18,4,DL,14869,10299,2145,21.0,1.0,44,23.0,1,0
2013,4,18,4,DL,10821,10397,745,-7.0,0.0,940,-10.0,0,0
2013,4,18,4,DL,14747,13487,650,6.0,0.0,1207,8.0,0,0
2013,4,18,4,DL,11193,10397,705,0.0,0.0,843,-9.0,0,0
2013,4,18,4,DL,11433,12889,850,-4.0,0.0,1024,3.0,0,0
2013,4,18,4,DL,12889,11433,1130,-4.0,0.0,1834,-9.0,0,0
2013,4,18,4,DL,12953,13487,1005,-4.0,0.0,1221,13.0,0,0
2013,4,18,4,DL,13487,11697,930,-1.0,0.0,1407,-11.0,0,0
2013,4,18,4,DL,11697,13487,1525,22.0,1.0,1827,6.0,0,0
2013,4,18,4,DL,13487,12892,1944,110.0,1.0,2150,105.0,1,0
2013,4,18,4,DL,13244,11433,1355,-9.0,0.0,1652,20.0,1,0
2013,4,18,4,DL,14869,10397,55,-6.0,0.0,626,-7.0,0,0
2013,4,18,4,DL,10397,10821,1245,2.0,0.0,1435,-10.0,0,0
